FIPS,Admin2,Province_State,Combined_Key,Population,,,
8091,Ouray,Colorado,"Ouray, Colorado, US",4952,,,
8093,Park,Colorado,"Park, Colorado, US",18845,,,
8095,Phillips,Colorado,"Phillips, Colorado, US",4265,,,
8097,Pitkin,Colorado,"Pitkin, Colorado, US",17767,,,
8099,Prowers,Colorado,"Prowers, Colorado, US",12172,,,
8101,Pueblo,Colorado,"Pueblo, Colorado, US",168424,,,
8103,Rio Blanco,Colorado,"Rio Blanco, Colorado, US",6324,,,
8105,Rio Grande,Colorado,"Rio Grande, Colorado, US",11267,,,
8107,Routt,Colorado,"Routt, Colorado, US",25638,,,
8109,Saguache,Colorado,"Saguache, Colorado, US",6824,,,
8111,San Juan,Colorado,"San Juan, Colorado, US",728,,,
8113,San Miguel,Colorado,"San Miguel, Colorado, US",8179,,,
8115,Sedgwick,Colorado,"Sedgwick, Colorado, US",2248,,,
8117,Summit,Colorado,"Summit, Colorado, US",31011,,,
8119,Teller,Colorado,"Teller, Colorado, US",25388,,,
8121,Washington,Colorado,"Washington, Colorado, US",4908,,,
8123,Weld,Colorado,"Weld, Colorado, US",324492,,,
8125,Yuma,Colorado,"Yuma, Colorado, US",10019,,,
9001,Fairfield,Connecticut,"Fairfield, Connecticut, US",943332,,,
9003,Hartford,Connecticut,"Hartford, Connecticut, US",891720,,,
9005,Litchfield,Connecticut,"Litchfield, Connecticut, US",180333,,,
9007,Middlesex,Connecticut,"Middlesex, Connecticut, US",162436,,,
9009,New Haven,Connecticut,"New Haven, Connecticut, US",854757,,,
9011,New London,Connecticut,"New London, Connecticut, US",265206,,,
9013,Tolland,Connecticut,"Tolland, Connecticut, US",150721,,,
9015,Windham,Connecticut,"Windham, Connecticut, US",116782,,,
10001,Kent,Delaware,"Kent, Delaware, US",180786,,,
10003,New Castle,Delaware,"New Castle, Delaware, US",558753,,,
10005,Sussex,Delaware,"Sussex, Delaware, US",234225,,,
11001,District of Columbia,District of Columbia,"District of Columbia,District of Columbia,US",705749,,,
12001,Alachua,Florida,"Alachua, Florida, US",269043,,,
12003,Baker,Florida,"Baker, Florida, US",29210,,,
12005,Bay,Florida,"Bay, Florida, US",174705,,,
12007,Bradford,Florida,"Bradford, Florida, US",28201,,,
12009,Brevard,Florida,"Brevard, Florida, US",601942,,,
12011,Broward,Florida,"Broward, Florida, US",1952778,,,
12013,Calhoun,Florida,"Calhoun, Florida, US",14105,,,
12015,Charlotte,Florida,"Charlotte, Florida, US",188910,,,
12017,Citrus,Florida,"Citrus, Florida, US",149657,,,
12019,Clay,Florida,"Clay, Florida, US",219252,,,
12021,Collier,Florida,"Collier, Florida, US",384902,,,
12023,Columbia,Florida,"Columbia, Florida, US",71686,,,
12027,DeSoto,Florida,"DeSoto,Florida,US",38001,,,
12029,Dixie,Florida,"Dixie, Florida, US",16826,,,
12031,Duval,Florida,"Duval, Florida, US",957755,,,
12033,Escambia,Florida,"Escambia, Florida, US",318316,,,
12035,Flagler,Florida,"Flagler, Florida, US",115081,,,
12037,Franklin,Florida,"Franklin, Florida, US",12125,,,
12039,Gadsden,Florida,"Gadsden, Florida, US",45660,,,
12041,Gilchrist,Florida,"Gilchrist, Florida, US",18582,,,
12043,Glades,Florida,"Glades, Florida, US",13811,,,
12045,Gulf,Florida,"Gulf, Florida, US",13639,,,
12047,Hamilton,Florida,"Hamilton, Florida, US",14428,,,
12049,Hardee,Florida,"Hardee, Florida, US",26937,,,
12051,Hendry,Florida,"Hendry, Florida, US",42022,,,
12053,Hernando,Florida,"Hernando, Florida, US",193920,,,
12055,Highlands,Florida,"Highlands, Florida, US",106221,,,
12057,Hillsborough,Florida,"Hillsborough, Florida, US",1471968,,,
12059,Holmes,Florida,"Holmes, Florida, US",19617,,,
12061,Indian River,Florida,"Indian River, Florida, US",159923,,,
12063,Jackson,Florida,"Jackson, Florida, US",46414,,,
12065,Jefferson,Florida,"Jefferson, Florida, US",14246,,,
12067,Lafayette,Florida,"Lafayette, Florida, US",8422,,,
12069,Lake,Florida,"Lake, Florida, US",367118,,,
12071,Lee,Florida,"Lee, Florida, US",770577,,,
12073,Leon,Florida,"Leon, Florida, US",293582,,,
12075,Levy,Florida,"Levy, Florida, US",41503,,,
12077,Liberty,Florida,"Liberty, Florida, US",8354,,,
12079,Madison,Florida,"Madison, Florida, US",18493,,,
12081,Manatee,Florida,"Manatee, Florida, US",403253,,,
12083,Marion,Florida,"Marion, Florida, US",365579,,,
12085,Martin,Florida,"Martin, Florida, US",161000,,,
12086,Miami-Dade,Florida,"Miami-Dade, Florida, US",2716940,,,
12087,Monroe,Florida,"Monroe, Florida, US",74228,,,
12089,Nassau,Florida,"Nassau, Florida, US",88625,,,
12091,Okaloosa,Florida,"Okaloosa, Florida, US",210738,,,
12093,Okeechobee,Florida,"Okeechobee, Florida, US",42168,,,
12095,Orange,Florida,"Orange, Florida, US",1393452,,,
12097,Osceola,Florida,"Osceola, Florida, US",375751,,,
12099,Palm Beach,Florida,"Palm Beach, Florida, US",1496770,,,
12101,Pasco,Florida,"Pasco, Florida, US",553947,,,
12103,Pinellas,Florida,"Pinellas, Florida, US",974996,,,
12105,Polk,Florida,"Polk, Florida, US",724777,,,
12107,Putnam,Florida,"Putnam, Florida, US",74521,,,
12109,St. Johns,Florida,"St. Johns, Florida, US",264672,,,
12111,St. Lucie,Florida,"St. Lucie, Florida, US",328297,,,
12113,Santa Rosa,Florida,"Santa Rosa, Florida, US",184313,,,
12115,Sarasota,Florida,"Sarasota, Florida, US",433742,,,
12117,Seminole,Florida,"Seminole, Florida, US",471826,,,
12119,Sumter,Florida,"Sumter, Florida, US",132420,,,
12121,Suwannee,Florida,"Suwannee, Florida, US",44417,,,
12123,Taylor,Florida,"Taylor, Florida, US",21569,,,
12125,Union,Florida,"Union, Florida, US",15237,,,
12127,Volusia,Florida,"Volusia, Florida, US",553284,,,
12129,Wakulla,Florida,"Wakulla, Florida, US",33739,,,
12131,Walton,Florida,"Walton, Florida, US",74071,,,
12133,Washington,Florida,"Washington, Florida, US",25473,,,
13001,Appling,Georgia,"Appling, Georgia, US",18386,,,
13003,Atkinson,Georgia,"Atkinson, Georgia, US",8165,,,
13005,Bacon,Georgia,"Bacon, Georgia, US",11164,,,
13007,Baker,Georgia,"Baker, Georgia, US",3038,,,
